PU-Name,PU-Code,LGA,lat,lon,APC,APC_outlier_score,party,LP,LP_outlier_score,PDP,PDP_outlier_score,NNPP,NNPP_outlier_score
AJAGWUMU LGEA PRIM. SCHOOL,22-05-05-004,DEKINA,7.548202379040787,7.176578805050147,517.0,451.8893280632411,APC,,,,,,
AGINI/ BUZHI LGEA SCH.,22-12-06-001,LOKOJA,8.173234446800464,6.460266675995481,500.0,443.0,APC,,,,,,
R.C.C. SCHOOL - UPOGORO IV,22-17-11-004,OKENE,7.449832753985893,6.322078822163565,366.0,286.54418604651164,APC,,,,,,
OPEN SPACE ETUTU-EKPE ATE,22-05-02-033,DEKINA,7.548202379040787,7.176578805050147,,,LP,565.0,559.5928853754941,,,,
LGEA SCH. GANAJA VILLAGE,22-02-14-009,AJAOKUTA,7.494070521490231,6.589822017610396,,,LP,491.0,465.50877192982455,,,,
"UNITY LAYOUT, BEHIND FIRST 200 UNITY BY TRANSFORMER JUNCTION",22-02-14-049,AJAOKUTA,7.494070521490231,6.589822017610396,,,LP,185.0,156.82456140350877,,,,
LGEA SCH. GANAJA VILLAGE,22-02-14-009,AJAOKUTA,7.494070521490231,6.589822017610396,,,PDP,,,369.0,308.780701754386,,
"OJEDE CENTRE, OPEN SPACE",22-03-02-002,ANKPA,7.4337412691706275,7.651151311917628,,,PDP,,,192.0,144.9375,,
OPEN SPACE /OKULA 2 & 3 - OKO OKULA,22-14-02-002,OFU,7.302846654816873,7.038165045635637,,,PDP,,,158.0,124.8216560509554,,
LGEA PRI. SCH. OLADEBU,22-14-08-011,OFU,7.302846654816873,7.038165045635637,,,NNPP,,,,,108.0,107.56687898089172
HOLY TRINITY SCHOOL OBOROKE I,22-16-05-008,OKEHI,7.681938523228131,6.285444778798043,,,NNPP,,,,,88.0,87.61940298507463
OKOWOWOLO OPEN SPACE,22-05-06-015,DEKINA,7.548202379040787,7.176578805050147,,,NNPP,,,,,61.0,60.462450592885375
